ID,Region,Duration,Winner,Hero1,K1,D1,A1,XPM1,GPM1,DMG1,Hero2,K2,D2,A2,XPM2,GPM2,DMG2,Hero3,K3,D3,A3,XPM3,GPM3,DMG3,Hero4,K4,D4,A4,XPM4,GPM4,DMG4,Hero5,K5,D5,A5,XPM5,GPM5,DMG5,Hero6,K6,D6,A6,XPM6,GPM6,DMG6,Hero7,K7,D7,A7,XPM7,GPM7,DMG7,Hero8,K8,D8,A8,XPM8,GPM8,DMG8,Hero9,K9,D9,A9,XPM9,GPM9,DMG9,Hero10,K10,D10,A10,XPM10,GPM10,DMG10
2290842158,Europe West,23:06,Dire,spirit-breaker,2,7,9,267,256,4.6k,necrophos,3,9,4,308,321,4.9k,enchantress,1,3,5,219,264,4.8k,natures-prophet,2,6,4,250,347,4.5k,phantom-lancer,4,2,2,476,431,5.2k,bounty-hunter,5,4,16,276,409,6.5k,invoker,9,2,12,651,692,10.2k,lion,3,5,16,379,344,4.4k,tidehunter,4,1,16,508,446,6.6k,spectre,5,1,19,504,498,9.5k
2290801756,Europe West,50:46,Radiant,spectre,18,7,20,638,661,25.6k,doom,13,3,22,486,409,11.3k,zeus,16,6,24,638,546,30.2k,vengeful-spirit,5,7,25,388,300,5.7k,nyx-assassin,3,7,22,346,246,10.3k,mirana,0,9,6,186,194,1.5k,outworld-devourer,17,8,9,579,481,17.7k,gyrocopter,8,13,17,530,483,19.7k,faceless-void,5,11,16,527,423,9.1k,lion,0,15,14,244,190,4.6k
2290786831,Europe West,43:21,Radiant,ogre-magi,0,4,18,274,223,4.7k,outworld-devourer,12,4,9,437,512,15.2k,zeus,13,1,11,604,507,26.3k,enigma,0,3,17,348,363,5.6k,batrider,2,4,15,437,376,5.6k,weaver,1,4,9,523,456,11.1k,alchemist,7,3,5,587,718,13.6k,night-stalker,4,6,7,286,273,7.3k,io,2,7,9,215,194,4k,keeper-of-the-light,1,7,6,284,262,6.2k
2290773190,Europe West,28:54,Dire,treant-protector,0,4,6,159,175,2.3k,slark,2,7,3,292,293,6.9k,lone-druid,0,10,1,312,249,2.3k,invoker,6,4,0,257,276,8.9k,dazzle,0,9,5,154,167,3k,mirana,5,3,21,357,423,6.5k,phoenix,7,2,19,393,361,14k,magnus,6,1,18,445,434,10.8k,warlock,5,1,19,306,321,9.1k,outworld-devourer,11,1,17,471,566,11.2k
2290769819,Europe West,26:42,Radiant,doom,3,3,14,291,329,6.9k,puck,3,3,13,463,483,9.2k,witch-doctor,6,1,14,322,351,6.3k,natures-prophet,2,2,19,466,485,10.1k,phantom-lancer,11,0,9,573,570,11.4k,lina,1,7,7,230,226,4.3k,chaos-knight,3,5,5,407,423,3.8k,earth-spirit,0,4,6,183,184,4.8k,invoker,1,4,5,467,446,5.3k,faceless-void,4,5,1,302,311,3.7k
2290675650,China,45:59,Radiant,outworld-devourer,14,6,10,626,522,18.3k,nyx-assassin,4,11,20,411,328,12.7k,earthshaker,4,12,15,423,334,6.4k,morphling,15,8,9,719,704,22.3k,ursa,17,9,11,652,589,22.1k,tidehunter,3,9,21,454,369,8.7k,skywrath-mage,8,16,20,421,330,15.8k,shadow-fiend,19,8,11,704,635,25.4k,bounty-hunter,7,11,27,579,489,11.2k,anti-mage,8,10,17,706,543,10.5k
2290696954,Europe West,30:25,Radiant,legion-commander,12,1,12,613,658,13.5k,invoker,9,3,16,675,707,13.4k,dark-seer,2,5,17,432,446,4.8k,enchantress,8,2,10,425,411,8.5k,spirit-breaker,2,5,20,331,339,6.8k,faceless-void,1,5,7,313,283,2.8k,gyrocopter,8,7,5,514,512,13.6k,zeus,3,7,10,281,282,14k,disruptor,1,5,11,269,249,3.7k,earth-spirit,1,10,7,160,189,5k
2290679548,Europe West,40:15,Dire,invoker,3,10,9,378,394,16.4k,juggernaut,4,7,4,492,419,7.7k,vengeful-spirit,2,13,5,142,154,4k,rubick,2,8,7,176,178,7.5k,tidehunter,3,11,6,302,240,7.7k,disruptor,9,6,20,343,355,8.1k,lich,9,2,30,454,367,10.7k,clockwerk,7,0,28,410,344,14.1k,magnus,5,5,24,526,381,9.6k,sven,19,2,19,807,798,24.3k
2290680300,Europe West,30:10,Radiant,lone-druid,13,1,13,618,707,14.7k,earthshaker,2,4,12,301,328,5.9k,slark,18,2,7,749,685,25.2k,witch-doctor,2,3,16,340,350,8.1k,lion,5,2,19,398,353,9k,legion-commander,6,6,1,399,440,9.7k,vengeful-spirit,0,6,4,229,263,1.5k,invoker,2,11,5,393,394,7.6k,beastmaster,2,9,3,296,275,3.9k,dazzle,1,9,3,187,317,2.8k
2290648124,Europe West,44:17,Radiant,enchantress,6,3,13,322,362,10.2k,invoker,6,5,24,418,419,10.9k,io,4,7,17,334,314,4.3k,lone-druid,4,3,17,597,634,10k,ursa,13,0,12,646,594,18.3k,witch-doctor,2,10,11,210,196,3.6k,spectre,3,7,14,465,423,14.7k,zeus,5,5,10,349,378,18.5k,oracle,5,7,6,249,244,4.3k,beastmaster,3,5,8,358,331,6.9k
